data;label
i received a credit card from chase/xxxx that i did not apply for. very disturbing that a credit card was opened in my name. chase has still not told me how/why the card was opened.;0
i was out of town and someone used my debt card for several transactions. i informed chase of this error in conjunction with the overdrafts fees with these funds not being available in my account.;0
received mail flyer showing xxxx bonus miles to sign up for mileage plus xxxx credit card from chase manhatten bank and when your go to the website the offer is xxxx bonus miles. false advertising.;0
chase bank # xxxx is paid off and is still reporting a balance on my credit. this was charged off but i have already paid everything and it should no longer be on my credit.;0
my bank does not update to third party apps in real time. i use an app to check my balance that is better than the mobile app. it causes stress when my balance is low.;0
company check my credit without my consent which put hard inquiries on my credit i would like to get them removed it was improper use of my credit jpmcb, xx/xx/2019 xxxx xxxx xxxx, xx/xx/2019 2019;0
did a balance trasfer with chase. the terms were no interst on the transfer. and pay your regular charges. i did. they still charge me instrest. this is a fraud company that lies to consumers;0
i fell behind on my payments due to some personal reasons and had loss my job due to illness and i recently got back on my feet but the late payments is hurting my history;0
"called my bank on xx/xx/2020 about unathorized transactions.

they gave me a credit the following day.

total amount was {$5700.00} they also provided me with a new debit card.

after that date i had no more unathorized transactions.";0
chase closed my credit card account without giving notice and for no reason. chase refuse to refund my annual fee. when i called chase, they refused to provide reason and refused to reopen my account.;0
hello, happy sunday. to my dismay, i woke up this morning, checked my chase app, and found that not only have they not transferred the money i requested, they have now locked my account, too.;0
they won't allow me access to my account online and buy phone they forcing me to go to a branch and the branch nowhere near me i'm in xxxx virginia the closest branches and dc;0
refinanced with another bank. j p morgan received the pay off a day late and negatively reported a late fee. when asked they said they couldn't reverse it even though it was just a day.;0
please accept this qualified written request under 1024.36, as a formal request for life of the loan : 1 ) accounting and 2 ) escrow statement, for loan number xxxx. thank you. xxxx xxxx xxxx;0
i moved several times and was not getting my statements. each time i moved i updated my address, and still never received payments. i want to pay off the debt, and want the lates removed.;0
apply for credit card, i have high credit score, and no high balances in my credit card, no late payments, no derogatory marks in my credit report, i have very good credit rating. card denied.;0
received a text from xxxx xxxx xxxx xxxx stating chase bank : based upon recent suspicious activity, we have identified that your account may potentially be at risk. visit https xx/xx/xxxxto verify your account now.;0
i was unknowingly charged a {$14.00} cash advanced fee on a credit card charge. i would have never made this charge if i knew it would be logged by my bank as a cash advance.;0
jp morgan chase is listed as trustee to mortgage loan trust xxxx xxxx. they have sent two letters stating that they have no information on my mortgage loan number, names on mortgage or property address.;0
on xx/xx/2017, chase bank proceeded to do a hard inquiry for promotional purposes without my consent. my credit file has been black for all promotional purposes. this has created a reduction in my credit score.;0
i live in a bank owned house. i want to buy it. bank has not acknowledge or help me. in me buy it.the house i live is soon gon na sell.i want to buy it;0
i purchased a new vehicle xxxx xxxx, 2017. i advised the salesperson that i wanted to finance my vehicle with xxxx xxxx. the dealership ran my credit through several different financial institutions without my permission.;0
i notice a new recent checking account is open without my knowledge. i did not open any new checking account under my name recently. please provide documentation of consent of the new checking account opening.;0
my chase checking account is negative xxxx xxxx because chase doesn't want to put a stop payment to the xxxx xxxx car companies. that i no longer have the rental and i contacted chase bank.;0
chase bank shut my bank account with no notice. chase refuses to reopen the account. yet again, chase held the money in float, without notifying the transferring bank or me for my direct deposit payroll.;0
they left a message for me and for my mother stating they were calling regarding a complaint that was going to be filed against me xxxx. they are a collection agency and this is wrong.;0
i called chase bank which is where part of where i have part of my payroll check is deposited because they closed my acct without notifying me my disclosures do not state that no notification;0
was offered a {$250.00} statement credit if applying for chase freedom card. only got {$150.00} bank says they cant find offer.. it appeared on their site when i was logging into my existing chase accounts;0
i was on the hurricane harvey relief program thru chase bank for roughly 9 months but when i came off of the program they are trying to double charge me for the month of xx/xx/2018.;0
chase is reporting to only xxxx that i have 120 day lates from xxxx to xxxx and the date of last activity and account closing was in factxx/xx/xxxx and should n't even be reporting anymore.;0
battling id theft for over 7 years seems like its getting no where all the banks are deny me b/c of my id theft sent over ftc and police reports from xxxx and xxxx county;0
"i am requesting copies of the original mortgage assignment to chase for this loan. 

i would like to see documents that show when chase was assigned the right to collect or service this mortgage loan.";0
chase bank refused to do a refi -- i ask them to transfer the appraisal to another bank -- -said it was not their policy to do so -- can they be forced to transfer?;0
chase reduced my credit line from $xxxx to $xxxx, even though the balance on the account was only $xxxx.  i have been a customer for a decade and have never had a late payment.;0
i purchased an item of clothing. took months to get and returned in xx/xx/xxxx. they said three weeks for refund. i emailed dozens of time and no refund. all i want is my money back;0
home at xxxx view xxxx xxxx ca xxxx has not been foreclosed on by chase bank after homeowner walked away in xxxx of 2015. assesmmnts are behind and no title transfer or maintenance to property.;0
"i am a victim of identity theft and identity fraud. after reviewing my credit report i noticed the inquries that i did not authorize. 

chase bank usa, n.a inquiry date : 1. xx/xx/2018 2. xx/xx/2018";0
hi my name is xxxx xxxx. i just open chase credit for one month.they close my account for no reason.now it affect my credit line. my chase account number is xxxx. thank you xxxx xxxx;0
my mother has a credit card account, and she listed me as an authorized user. at some point, the credit card upgraded me to a co-user, which i did not consent to or apply for.;0
"i have double charges by merchants, and very large unacceptable fees by bank. 

i have had double charges by merchants for many many years, this has caused my banking to become a full time job.";0
xxxx xxxx xxxx xxxx i have asked for a payment history over 60 days ago and i believe the late payments reported are incorrect. xxxx 2012, xxxx 2012, xxxx 2012, xxxx 2012 and xxxx 2012.;0
i did not authorize for my credit to be pulled. i have tried to resolve this with the consumers but the customer rep. was not willing to help me remove this from my credit report.;0
i was a loyal customer from chase bank for 6 years and for no reason that i can think of they closed down all my accounts my checking saving and all my credit card accounts;0
i went to chase bank to open a military account and they copied my veterans id card and my drivers license. they assured me it was normal protocol. it was not after doing my research.;0
xxxx xxxx and chase still turns me down what do they need a perfect score cra violation for reason and hippa xxxx has xxxx up my report totally this need to be corrected right away;0
i noticed when i was checking my credit score through xxxx xxxx that someone opened up a chase credit card account in my name. there's no balance yet. it look like it was open xx/xx/2018.;0
i downloaded an xxxx app called xxxx and my chase bank is supposed to send the information that the apps company needs asap. however the bank is slacking which i know is considered misbehaving..;0
i received a letter fr om chase stating th at my credit card interest rate would be increased to 25 %. i had, had the card for several years, and i have excellent credit.;0
xx/xx/2018 chase card inqury that i did not authorize xx/xx/2018 chase card inqury that i did not authorize xxxx  xx/xx/2018 and xx/xx/2018 i have never heard of this company and did not authorize;0
this company have placed a inquiry on my credit report three times in one year and i did n't authorize any of it xx/xx/xxxx xx/xx/xxxx xx/xx/xxxx chase card xxxx xxxx xxxx xxxx de xxxx;0
xx/xx/2018 chase card inqury that i did not authorize xx/xx/2018 chase card inqury that i did not authorize xxxx  xx/xx/2018 and xx/xx/2018 i have never heard of this company and did not authorize;0
